player_name,market,book,decimal_odds
Matthieu Pavon,top_10,draftkings,28.00
Tom Hoge,win,draftkings,4001.00
Tom Hoge,top_10,draftkings,33.00
Adrien Saddier,win,draftkings,4001.00
Adrien Saddier,top_10,draftkings,31.00
Danny Walker,win,draftkings,4501.00
Danny Walker,top_10,draftkings,40.00
Brice Garnett,win,draftkings,4501.00
Brice Garnett,top_10,draftkings,38.00
Matt Kuchar,win,draftkings,4501.00
Matt Kuchar,top_10,draftkings,36.00
Erik Van Rooyen,win,draftkings,5001.00
Erik Van Rooyen,top_10,draftkings,46.00
Danny Willett,win,draftkings,5001.00
Danny Willett,top_10,draftkings,97.00
Peter Malnati,win,draftkings,5001.00
Peter Malnati,top_10,draftkings,69.00
